,name,x,y
0,Ukraine,245.0,-68.0
1,France,-378.0,-216.0
2,Spain,-554.0,-317.0
3,Sweden,-115.0,228.0
4,Germany,-209.0,-64.0
5,Finland,48.0,282.0
6,Norway,-219.0,181.0
7,Poland,-8.0,-29.0
8,Italy,-126.0,-275.0
9,United Kingdom,-427.0,-16.0
10,Romania,145.0,-175.0
11,Belarus,145.0,16.0
12,Greece,101.0,-340.0
13,Bulgaria,161.0,-256.0
14,Iceland,-589.0,336.0
15,Portugal,-669.0,-315.0
16,Czech Republic,-80.0,-99.0
17,Denmark,-210.0,66.0
18,Hungary,12.0,-163.0
19,Serbia,62.0,-224.0
20,Austria,-90.0,-152.0
21,Ireland,-551.0,12.0
22,Lithuania,67.0,55.0
23,Latvia,78.0,99.0
24,Croatia,-53.0,-195.0
25,Bosnia and Herzegovina,-16.0,-235.0
26,Slovakia,6.0,-118.0
27,Estonia,79.0,149.0
28,Netherlands,-270.0,-16.0
29,Switzerland,-240.0,-174.0
30,Moldova,221.0,-126.0
31,Belgium,-312.0,-73.0
32,Albania,54.0,-304.0
33,Macedonia,96.0,-288.0
34,Slovenia,-81.0,-192.0
35,Montenegro,26.0,-261.0
36,Cyprus,437.0,-397.0
37,Luxembourg,-281.0,-102.0
38,Faroe Island,-459.0,230.0
39,Andorra,-405.0,-275.0
40,Malta,-146.0,-425.0
41,Liechtenstein,-198.0,-168.0
42,Guernsey,-470.0,-91.0
43,San Marino,-139.0,-248.0
44,Gibraltar,-608.0,-394.0
45,Monaco,-269.0,-252.0
46,Vatican City,-149.0,-282.0
